[2026-01-07 17:02:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/permit_join', payload '{"data":{"time":254},"status":"ok","transaction":"lcqww-1"}'
[2026-01-07 17:07:04] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Balcony', payload '{"brightness":209,"color_mode":"color_temp","color_temp":153,"device_temperature":63,"linkquality":80,"power_outage_count":53,"power_outage_memory":null,"state":"ON","update":{"installed_version":-1,"latest_version":-1,"state":null}}'
[2026-01-07 17:07:12] info: 	z2m: Zigbee: allowing new devices to join.
[2026-01-07 17:07:13] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/permit_join', payload '{"data":{"time":254},"status":"ok","transaction":"1odc2-1"}'
[2026-01-07 17:07:55] info: 	z2m: Zigbee: disabling joining new devices.
[2026-01-07 17:07:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/permit_join', payload '{"data":{"time":0},"status":"ok","transaction":"gmx7r-1"}'
[2026-01-07 17:07:57] info: 	z2m: Zigbee: allowing new devices to join.
[2026-01-07 17:07:57] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/permit_join', payload '{"data":{"time":254},"status":"ok","transaction":"gmx7r-2"}'
[2026-01-07 17:08:15] info: 	zh:controller: Interview for '0xa4c1386d425bfa10' started
[2026-01-07 17:08:15] info: 	z2m: Device '0xa4c1386d425bfa10' joined
[2026-01-07 17:08:15] info: 	z2m: Starting interview of '0xa4c1386d425bfa10'
[2026-01-07 17:08:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"0xa4c1386d425bfa10","ieee_address":"0xa4c1386d425bfa10"},"type":"device_joined"}'
[2026-01-07 17:08:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"0xa4c1386d425bfa10","ieee_address":"0xa4c1386d425bfa10","status":"started"},"type":"device_interview"}'
[2026-01-07 17:08:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"0xa4c1386d425bfa10","ieee_address":"0xa4c1386d425bfa10"},"type":"device_announce"}'
[2026-01-07 17:08:16] info: 	zh:controller:device: Device '0xa4c1386d425bfa10' is only compliant to revision '21' of the Zigbee specification (current revision: 23).
[2026-01-07 17:08:21] info: 	zh:controller: Succesfully interviewed '0xa4c1386d425bfa10'
[2026-01-07 17:08:21] info: 	z2m: Successfully interviewed '0xa4c1386d425bfa10', device has successfully been paired
[2026-01-07 17:08:21] info: 	z2m: Device '0xa4c1386d425bfa10' is supported, identified as: Tuya Light controller (TS0502B)
[2026-01-07 17:08:21] info: 	z2m: Configuring '0xa4c1386d425bfa10'
[2026-01-07 17:08:21] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/light/0xa4c1386d425bfa10/light/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"brightness":true,"brightness_scale":254,"command_topic":"zigbee2mqtt/0xa4c1386d425bfa10/set","default_entity_id":"light.0xa4c1386d425bfa10","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0xa4c1386d425bfa10"],"manufacturer":"Tuya","model":"Light controller","model_id":"TS0502B","name":"0xa4c1386d425bfa10","via_device":"zigbee2mqtt_bridge_0x00124b0031df1976"},"effect":true,"effect_list":["blink","breathe","okay","channel_change","finish_effect","stop_effect"],"max_mireds":500,"min_mireds":153,"name":null,"object_id":"0xa4c1386d425bfa10","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"schema":"json","state_topic":"zigbee2mqtt/0xa4c1386d425bfa10","supported_color_modes":["color_temp"],"unique_id":"0xa4c1386d425bfa10_light_zigbee2mqtt"}'
